"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
40,3.38,3.38,0,0,0,1,2009,"1-1-2009"
69,3.38,3.38,0,0,0,2,2009,"1-2-2009"
171,2.9425,3.38,2,1,0,3,2009,"1-3-2009"
108,3.202,3.38,0,0,1,4,2009,"1-4-2009"
180,3.015,3.345,1,0,0,5,2009,"1-5-2009"
104,3.3225,3.3225,0,0,0,6,2009,"1-6-2009"
135,3.11,3.38,2,0,0,7,2009,"1-7-2009"
119,3.38,3.38,0,0,0,8,2009,"1-8-2009"
95,3.38,3.38,0,0,0,9,2009,"1-9-2009"
78,3.38,3.38,0,0,0,10,2009,"1-10-2009"
123,3.17,3.38,1,0,0,11,2009,"1-11-2009"
129,3.172,3.348,1,0,0,12,2009,"1-12-2009"
90,3.365,3.365,0,0,0,1,2010,"1-1-2010"
77,3.33,3.33,0,0,0,2,2010,"1-2-2010"
291,2.938,3.314,3,0,0,3,2010,"1-3-2010"
85,3.3625,3.3625,0,0,0,4,2010,"1-4-2010"
114,3.17,3.38,0,0,1,5,2010,"1-5-2010"
426,2.952,3.38,2,2,0,6,2010,"1-6-2010"
177,2.835,3.1425,1,0,0,7,2010,"1-7-2010"
95,3.19,3.19,0,0,0,8,2010,"1-8-2010"
84,3.19,3.19,0,0,0,9,2010,"1-9-2010"
102,2.9425,3.04,0,0,1,10,2010,"1-10-2010"
122,2.5,2.89,0,0,4,11,2010,"1-11-2010"
89,3.044,3.114,0,0,1,12,2010,"1-12-2010"
79,3.19,3.19,0,0,0,1,2011,"1-1-2011"
179,2.715,3.19,1,2,1,2,2011,"1-2-2011"
150,3.052,3.19,0,1,0,3,2011,"1-3-2011"
107,3.3525,3.3525,0,0,0,4,2011,"1-4-2011"
87,3.36,3.36,0,0,0,5,2011,"1-5-2011"
243,3.01,3.36,2,2,0,6,2011,"1-6-2011"
87,3.36,3.36,0,0,0,7,2011,"1-7-2011"
139,3.318,3.318,0,0,0,8,2011,"1-8-2011"
101,3.36,3.36,0,0,0,9,2011,"1-9-2011"
92,3.36,3.36,0,0,0,10,2011,"1-10-2011"
128,3.36,3.36,0,0,0,11,2011,"1-11-2011"
99,3.36,3.36,0,0,0,12,2011,"1-12-2011"
25,3.36,3.36,0,0,0,1,2012,"1-1-2012"
